,vid,word,0
0,1,calm,1
1,1,excit,1
2,1,hunger,1
3,1,hungri,1
4,1,interest,1
5,1,satisfi,1
6,2,awe,1
7,2,disgust,1
8,2,neutral,1
9,2,proud,1
10,2,war,1
11,3,anger,1
12,3,disgust,1
13,3,horrifi,1
14,3,mad,1
15,3,pain,1
16,3,sad,1
17,3,shock,1
18,4,compass,1
19,4,glad,1
20,4,joy,1
21,4,relief,1
22,4,sad,1
23,5,disgust,1
24,5,gross,1
25,5,sick,1
26,6,happi,1
27,6,joy,1
28,6,proud,1
29,7,anger,1
30,7,care,1
31,7,hope,1
32,7,sad,1
33,7,upset,1
34,8,awkward,1
35,8,cheer,1
36,8,confus,1
37,8,content,1
38,9,concern,1
39,9,empathi,1
40,9,pain,1
41,9,sad,1
42,9,worri,1
43,10,annoy,1
44,10,hate,1
45,10,jealou,1
46,10,neutral,1
47,10,rich,1
48,11,close,1
49,11,concern,1
50,11,danger,1
51,11,fear,1
52,11,relief,1
53,11,reliev,1
54,11,shock,1
55,11,stupid,1
56,11,worri,1
57,12,anger,1
58,12,annoy,1
59,12,concern,1
60,12,confus,1
61,12,idiot,1
62,13,contempt,1
63,13,disbelief,1
64,13,disgust,1
65,13,frustrat,1
66,13,meh,1
67,13,upset,1
68,14,anxiou,1
69,14,disbelief,1
70,14,fear,1
71,14,stupid,1
72,15,intrigu,1
73,15,odd,1
74,15,shock,1
75,15,weird,1
76,16,afraid,1
77,16,danger,1
78,16,fear,1
79,16,neutral,1
80,16,sad,1
81,16,shock,1
82,17,content,1
83,17,cute,1
84,17,happi,1
85,17,love,1
86,17,nostalgia,1
87,17,pleasant,1
88,17,sweet,1
89,17,warm,1
90,18,awkward,1
91,18,disgust,1
92,18,sexual,1
93,19,afraid,1
94,19,dark,1
95,19,horror,1
96,19,sad,1
97,19,shock,1
98,19,upset,1
99,19,worri,1
100,20,bore,1
101,20,calm,1
102,20,chill,1
103,20,empti,1
104,20,neutral,1
105,20,tranquil,1
106,21,empathi,1
107,21,helpless,1
108,21,sad,1
109,22,awe,1
110,22,excit,1
111,22,happi,1
112,22,impress,1
113,23,danger,1
114,23,horror,1
115,23,sad,1
116,23,scare,1
117,23,shock,1
118,23,worri,1
119,24,happi,1
120,24,idiot,1
121,24,joy,1
122,24,karma,1
123,24,shock,1
124,24,surpris,1
125,25,afraid,1
126,25,confus,1
127,25,laugh,1
128,25,sad,1
