,word,version,V,A,count
0,aesthet,2,0.7775,0.3845,1
1,amaz,2,0.837,0.81475,1
2,anxiou,2,0.281,0.875,1
3,awe,2,0.4165,0.757,1
4,ball,1,0.74,0.427,2
5,bore,2,0.254666667,0.274666667,1
6,cake,1,0.81,0.375,2
7,calm,2,0.898,0.103333333,3
8,calori,1,0.333,0.54,1
9,caramel,1,0.901,0.363,1
10,chocol,1,0.885,0.48,15
11,cold,2,0.2455,0.504,1
12,comfort,1,0.8285,0.2515,1
13,content,2,0.7054,0.4806,1
14,crave,2,0.5675,0.6325,2
15,curiou,2,0.635,0.6,1
16,decad,1,0.352666667,0.472,1
17,delici,1,0.927,0.65,11
18,delici,2,0.927,0.65,2
19,delight,2,0.935,0.688333333,2
20,desert,1,0.21725,0.52475,3
21,desir,2,0.7706,0.7244,3
22,dessert,1,0.755,0.491,10
23,diabet,2,0.088,0.3705,1
24,disgust,2,0.044666667,0.781333333,2
25,dish,1,0.552,0.255,1
26,excit,1,0.868285714,0.880571429,1
27,excit,2,0.868285714,0.880571429,8
28,fanci,1,0.7655,0.6325,1
29,fascin,2,0.8825,0.74675,1
30,flow,1,0.6335,0.398,1
31,food,1,0.888,0.324,2
32,fruit,1,0.830333333,0.422,2
33,fudg,1,0.853,0.418,1
34,full,2,0.735,0.3285,2
35,gooey,1,0.392,0.48,1
36,greed,2,0.173,0.78,1
37,gross,2,0.115,0.575,1
38,guilti,2,0.135,0.77,2
39,happi,1,0.98,0.7335,1
40,happi,2,0.98,0.7335,8
41,hate,2,0.061666667,0.813666667,1
42,hot,2,0.49,0.74,1
43,hunger,2,0.083,0.554,2
44,hungri,2,0.083,0.69,13
45,impress,2,0.77175,0.72525,2
46,interest,2,0.819,0.640666667,3
47,intrigu,2,0.392,0.7715,3
48,jealou,2,0.173,0.855,2
49,mellow,2,0.633,0.069,1
50,melt,1,0.52,0.5425,5
51,motiv,2,0.8394,0.7228,1
52,nice,1,0.93,0.442,1
53,plate,1,0.573666667,0.357,3
54,pleasur,2,0.927666667,0.641,1
55,pour,1,0.448,0.57,2
56,pud,1,0.75,0.255,2
57,relax,2,0.8794,0.149,2
58,reveal,1,0.493,0.637,1
59,sad,2,0.1385,0.3105,1
60,satisfi,1,0.905333333,0.635333333,2
61,satisfi,2,0.905333333,0.635333333,3
62,sauc,1,0.562,0.515,3
63,smooth,2,0.828,0.174,1
64,strawberri,1,0.833,0.27,2
65,sugar,1,0.896,0.382,1
66,sugar,2,0.896,0.382,1
67,surpris,2,0.8555,0.82225,1
68,sweet,1,0.828,0.438,4
69,sweet,2,0.828,0.438,2
70,tasti,1,0.959,0.786,3
71,tasti,2,0.959,0.786,1
72,tempt,1,0.4125,0.7085,1
73,tempt,2,0.4125,0.7085,1
74,treat,1,0.573,0.571,1
75,upset,2,0.071,0.68,1
76,warm,2,0.649333333,0.509666667,1
77,yummi,1,0.878,0.55,1
78,yummi,2,0.878,0.55,1
